name,website,profile_url,description,address,,,
908 Devices,https://go.lexipol.com/?target=org_MW8PT3DhNQWDnVL2&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/908-devices/,"akes point-of-need chemical and biomolecular analysis devices ranging from rugged, handheld chemical detection tools to compact, tiny footprint analyzers and fast separation devices. These purpose-built and user-centric devices serve a range of industries including field forensics, life sciences, and other applied markets.
The MX908 is a multi-mission tool utilized by elite responders conducting priority drug, chemical, explosive, and HazMat operations around the world. Powered by mass spec, users can conduct field analysis of unknown substances at trace levels to generate actionable intelligence in real time. The MX908 allows operators to rapidly assess threat levels, establish reliable probable cause, and prioritize investigatory resources accordingly, all while reducing operator exposure.
·      Detect 2,000+ novel fentanyl analogs; no library updates required 
·      Detect trace priority drugs within bulk cutting agents 
·      Exterior package sampling limits exposure risk 
·      Results in 60 seconds to expedite mitigation or prosecution
·      Classified as a Category A technique  
·      Electronic records preserve data integrity
908 Devices is headquartered in the heart of Boston where we research, design and manufacture innovative products based on high-pressure mass spectrometryTM (HPMS) and microfluidic separation technology. For more information, visit http://908devices.com/.","908 Devices
645 Summer Street
              
              
                
                
                
                  
                
                Boston, MA
                02210
              
              
                Phone: 857.254.1500",,,
911 Circuits,,https://www.police1.com/company-directory/911-circuits/,,"911 Circuits
4785 Portland Rd. NE
              
              
                
                
                
                  
                
                Salem, OR
                97302
              
              
                Phone: (503) 393-3444",,,
911 Signal Technology Inc.,,https://www.police1.com/company-directory/911-signal-technology-inc/,,"911 Signal Technology Inc.
1410 Park Lane South Suite #3
              
              
                
                
                
                  
                
                Jupiter, FL
                33458
              
              
                Phone: (800) 765-6921",,,
ABA Body Armor,https://go.lexipol.com/?target=org_Ianlaf8LzzUd3G8z&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/aba-body-armor/,"® sets the industry standard in ballistic protection. Utilizing the greatest in engineering technologies and design with next generation materials, ABA® provides the optimum in performance and style when it comes to body armor. Our state-of-the-art testing facilities and exclusive alliances with the most knowledgeable partners in the industry enable us to maximize our innovations, to provide our customers with the best ballistic protection.","ABA Body Armor
3120 E. Mission Blvd.
              
              
                
                
                
                  
                
                Ontario, CA
                91761
              
              
                Phone: 1-800-347-1200",,,
Abbott Informatics STARLiMS,,https://www.police1.com/company-directory/abbott-informatics-starlims/,,"Abbott Informatics STARLiMS
4000 Hollywood Blvd. Suite 333 South
              
              
                
                
                
                  
                
                Hollywood, FL
                33021
              
              
                Phone: (630) 730-1861",,,
Abilene Christian University,https://go.lexipol.com/?target=org_d5d83aaf67bc4513&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/abilene-christian-university/,,"Abilene Christian University
1634 Campus Court
              
              
                
                
                
                  
                
                Abilene, TX
                79601
              
              
                Phone: 3256742576",,,
AB Inflatables USA,,https://www.police1.com/company-directory/ab-inflatables-usa/,,"AB Inflatables USA 57A Lafayettte Ave Suffern, NY 10901 Phone: (845) 918-2100 ",,,
Academy for Scientific Investigative Training,,https://www.police1.com/company-directory/academy-for-scientific-investigative-training/,"OPE certified school teaching basic and advanced polygraph courses, as well as seminars in Post Conviction Sexual Offender testing, Forensic Assessment Interviewing and Interrogation since 1980.","Academy for Scientific Investigative Training
1704 Locust Street
              
              
                
                
                
                  
                
                Philadelphia, PA
                19103
              
              
                Phone: 2157323349",,,
Ace Link Armor,,https://www.police1.com/company-directory/ace-link-armor/,"s a body armor company located in Irvine California that specializes in lightweight armor options, such as PE (Polyeura) plates. Our soft armor is light, concealable and made in the USA while our Hard armor plates are imported from overseas factories.","Ace Link Armor
3 CHRYSLER 150 STE
              
              
                
                
                
                  
                
                IRVINE, CA
                92618
              
              
                Phone: 9495634167",,,
Ace Technology Partners,,https://www.police1.com/company-directory/ace-technology-partners/,,"Ace Technology Partners
Phone: (630) 886-7681",,,
Action Target Inc.,https://go.lexipol.com/?target=org_0b40a86f976df775&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/action-target/,"s a business that has transformed the concept of shooting range installations. Founded in 1986, the company started by creating a pneumatic turning target system for the Provo Police Department training curriculum. From there, Action Target began working with armor steel and creating innovative designs resulting in unique, patented technology.

Action Target created their initial product line for law enforcement, but the innovative technology eventually spread to the commercial and military markets.","Action Target Inc.
P.O. Box 636
              
              
                
                
                
                  
                
                Provo, UT
                84603
              
              
                Phone: 888-377-8033",,,
"Action Training Systems, Inc",,https://www.police1.com/company-directory/action-training-systems/,"ATS has over 24 years of experience in developing courses for the emergency responder.  A key understanding of the industry, the adult learner and of instructional design places ATS programs at a superior advantage over other training products in the market. Customer satisfaction, loyalty and long-term relationships prove that ATS products are solution-oriented and meet the diverse needs of our customers. ","Action Training Systems, Inc 1040 Ne Hostmark St # 100 Poulsbo, WA 98370-7337 Phone: +1.360.394.4270",,,
Active911,https://go.lexipol.com/?target=org_LTzIgpGQyoJMQvgk&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/active911-inc/,"Knowing beats guessing.
At Active911, we strive to help heroes save lives everyday by giving them software solutions that make their job easier. From emergency response coordination to team scheduling, we have you covered.
ActiveAlert, our flagship product, offers you the ability to get alerts from dispatch on any device. With our Android, iOS, and PC apps, you can mark if you are responding, get turn-by-turn navigation to the incident, and add critical map markers to your area, such as hydrants. Complete incident response coordination at your fingertips.
ActiveTeam, our newest product, lets you manage your team's schedules easily. With custom shift creation, it allows you to create schedules that are unique to your team, whether it be your team's regular shifts or one-off shifts for special events. You can also leave open slots for volunteers to request filling as well as do shift trades.","Active911
4100 SW Research Way
              
              
                
                
                
                  
                
                Corvallis, OR
                97333
              
              
                Phone: 541-223-7992",,,
ADANI Systems,https://go.lexipol.com/?target=org_esl37fdTy8UGoeF6&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/adani-systems/,"WORLD-LEADING X-RAY IMAGING SOLUTIONS! Founded in 2006, ADANI Systems Inc. has over 15 years of experience in security X-ray imaging and specializes in Full Body Scanners, Baggage X-ray Systems, and Cargo Screening Solutions. Our innovative in-house engineering and design departments distinguish ADANI Systems as a globally recognized leader in security, non-destructive testing, and medical imaging. ADANI Systems, Inc. leverages world-class scientists and software developers to deliver unique solutions to global challenges. We develop and proudly manufacture our industry-leading imaging systems in the United States to meet today’s security challenges with the innovation and quality to perform in tomorrow’s world.","ADANI Systems
13631 Poplar Circle
              
              
                
                
                
                  
                
                Conroe, TX
                77304
              
              
                Phone: (936) 588-2064",,,
Adapt Pharma,,https://www.police1.com/company-directory/adapt-pharma/,,"Adapt Pharma
100 Matsonford Rd, Bldg 4, Suite 201
              
              
                
                
                
                  
                
                Radnor, PA
                19087
              
              
                Phone: (844) 232-7811",,,
Adashi Systems,https://go.lexipol.com/?target=org_mxT8bmCPMzM0RemO&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/adashi-systems/,,"Adashi Systems
101 N. Haven Street, Suite 301
              
              
                
                
                
                  
                
                Baltimore, MD
                21224
              
              
                Phone: (877) 563-9980",,,
A Division of Ayers Motorsports,https://go.lexipol.com/?target=org_iK0SFZFIShGwWXBJ&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/a-division-of-ayers-motorsports/,,"A Division of Ayers Motorsports
1918 N Memorial Drive
              
              
                
                
                
                  
                
                Greenville, NC
                27834",,,
Adrenaline Challenge Coins,,https://www.police1.com/company-directory/adrenaline-challenge-coins/,,"Adrenaline Challenge Coins
28081 Marguerite Pkwy., #4904
              
              
                
                
                
                  
                
                Mission Viejo, CA
                92690
              
              
                Phone: (949) 275-5376",,,
"ADS, Inc.",,https://www.police1.com/company-directory/ads-inc/,,"ADS, Inc.
477 VIKING DR. SUITE 350
              
              
                
                
                
                  
                
                VIRGINIA BEACH, VA
                23452
              
              
                Phone: 757 4817758 X",,,
Advanced ID Detection,https://go.lexipol.com/?target=org_ci5Hx26WXEf7wh4q&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/advanced-id-protection/,"supplies law enforcement, bars, liquor stores and high-security buildings with the only system on the market that can truly authenticate an ID. The information contained on the barcode or magnetic strip is easily counterfeited. Packages include: In Cruiser Mode, Pelican Case Mobile System, and Booking Room System.","Advanced ID Detection
23 Jayar Road
              
              
                
                
                
                  
                
                Medway, MA
                2053
              
              
                Phone: 774-306-1025",,,
Aeryon Labs Inc.,,https://www.police1.com/company-directory/aeryon-labs-inc/,,"Aeryon Labs Inc.
Phone: (519) 689-6726 ext. 523",,,
Aftermath Services LLC,,https://www.police1.com/company-directory/aftermath-services-llc/,,"Aftermath Services LLC
10200 S Mandel St
              
              
                
                
                
                  
                
                Plainfield, IL
                60585
              
              
                Phone: (630) 551-0735",,,
Agency360,,https://www.police1.com/company-directory/agency360/,,"Agency360
7 Launch Way Suite 640
              
              
                
                
                
                  
                
                Fishers, IN
                46038
              
              
                Phone: (317) 572-8578",,,
Agent Video Intelligence,,https://www.police1.com/company-directory/agent-video-intelligence/,,"Agent Video Intelligence
Phone: (855) 243-6884",,,
Agisent,https://go.lexipol.com/?target=org_5sEzbzhzSyTClzis&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/agisent/,"des advanced technology solutions that save lives and blow away the competition. They combine a deep understanding of law enforcement and public safety with an unrivaled technology platform bringing leading solutions in the following areas: Law Enforcement, Drug Control, Prosecution, Campus Police, Private Security, and Fusion Centers. The company's core products include: Agisent Platform RMS, RMS ONE, ProDocs Secure File Transfer and eDiscovery, Real-time Data Exchange (L.E.X.), and more.","Agisent
217 Big Springs Avenue
              
              
                
                
                
                  
                
                Tullahoma, TN
                37388
              
              
                Phone: 877-778-5277
              
              
                Fax: 931-571-8886",,,
Aholster Company,https://go.lexipol.com/?target=org_dEk0utnLeIhzIY7P&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/aholster-company/,"ufactures handmade custom Kydex holsters and have been doing it right for over FIFTEEN years. Our evolving and unique product line has been influenced by our valued customers over time including qualified instructors, combat veterans, and law enforcement personnel.","Aholster Company
Phone: 423-972-1348",,,
"Aimpoint, Inc.",https://go.lexipol.com/?target=org_pucs09ozEijtfMKy&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/aimpoint/,"® is the recognized worldwide leader and originator of red dot sighting technology. Aimpoint produces a complete line of high quality reflex sights for use by military, law enforcement, hunters, and sport shooters. The company also produces electronic fire control systems for use on crew-served weapons. After 45 years of dedicated design and innovation of red dot sights, Aimpoint optics remain the No. 1 choice for combined speed, accuracy, and reliability.","Aimpoint, Inc.
7309 Gateway Court
              
              
                
                
                
                  
                
                Manassas, VA
                20151-2113
              
              
                Phone: 877-246-7646
              
              
                Fax: 703-263-9463",,,
Airborne Law Enforcement Association,,https://www.police1.com/company-directory/airborne-law-enforcement-association/,,"Airborne Law Enforcement Association
Phone: (301) 631-2406",,,
Airbus (formerly Cassidian),,https://www.police1.com/company-directory/airbus-formerly-cassidian/,,"Airbus (formerly Cassidian)
42505 Rio Nedo
              
              
                
                
                
                  
                
                Temecula, CA
                92590
              
              
                Phone: (951) 719-2100",,,
AirFeet Insoles,,https://www.police1.com/company-directory/airfeet-insoles/,,"AirFeet Insoles
Phone: (877) 247-1191 EXT. 3",,,
Aker Leather,https://go.lexipol.com/?target=org_f69cca884455abf3&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/aker-intl/,,"Aker Leather
2248 Main St Ste 4
              
              
                
                
                
                  
                
                Chula Vista, CA
                91911-3932
              
              
                Phone: (619) 423-5182",,,
Alaska State Troopers,https://go.lexipol.com/?target=org_rIiD5cDfS89MPqcm&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/alaska-state-troopers/,"Department of Public Safety strives to preserve the peace, enforce the law, prevent and detect crime, and protect life and property with loyalty, integrity and courage. It is our privilege to serve and protect the people of Alaska.","Alaska State Troopers
5700 E. Tudor Rd. Anchorage, AK
              
              
                
                
                
                  
                
                Anchorage, AK
                99507
              
              
                Phone: 907 269 5511",,,
Alastar,,https://www.police1.com/company-directory/alastar/,,"Alastar
Phone: (843) 760-3273",,,
Alcohol Countermeasure Systems_ALCOLOCK,,https://www.police1.com/company-directory/alcohol-countermeasure-systems-alcolock/,,"Alcohol Countermeasure Systems_ALCOLOCK
60 International Blvd
              
              
                
                
                
                  
                
                ETOBICOKE, Ontario
                M9W 6J2
              
              
                Phone: (416) 619-3500x3518",,,
Alert All Co,,https://www.police1.com/company-directory/alert-all-co/,,"Alert All Co
164 Orlan Road
              
              
                
                
                
                  
                
                New Holland, PA
                17557
              
              
                Phone: (800) 253-7825",,,
ALINE,https://go.lexipol.com/?target=org_lqFYMajkVj8IufTH&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/aline/,,ALINE,,,
All Campus,,https://www.police1.com/company-directory/all-campus/,,"All Campus
30 S. Wacker Dr., Suite 1650
              
              
                
                
                
                  
                
                Chicago, IL
                60606
              
              
                Phone: 312.525.3100",,,
All Computer Solutions Inc,,https://www.police1.com/company-directory/all-computer-solutions-inc/,formation Technolgy,"All Computer Solutions Inc
PO Box 2517
              
              
                
                
                
                  
                
                South Portland, ME
                04106
              
              
                Phone: 2077991313",,,
All Traffic Solutions,https://go.lexipol.com/?target=org_20ec4418ff07e546&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/all-traffic-solutions/,"based traffic management solutions including radar speed and variable message displays, imaging products and intelligent transportation systems for law enforcement, transportation and smart cities.

Our innovative TraffiCloud™ traffic management ecosystem is changing the way smarter cities solve their most complex traffic, transportation and parking challenges by allowing them to manage all their traffic equipment remotely, as well as leverage data to increase traffic safety, streamline their operations and achieve lasting results.

Since 1999, All Traffic Solutions has been an innovative leader in portable road sign technology. From radar speed displays and variable message signs designed to be smarter, more portable and easier to maintain, to TraffiCloud – the first completely integrated cloud-based solution that allows users to remotely manage all their traffic safety equipment and data from anywhere there’s an Internet connection.","All Traffic Solutions
12950 Worldgate Drive, Suite 310
              
              
                
                
                
                  
                
                Herndon, PA
                20170
              
              
                Phone: 866-366-6602
              
              
                Fax: 814-237-9006",,,
A.L.S. Technologies Inc.,https://go.lexipol.com/?target=org_100175886beb06e9&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/als-technologies-inc/,"manufactures, sells, and trains in the use of a complete line of less lethal munitions including 12 gauge rounds, 37/40mm rounds and launchers, chemical and diversionary devices, OC delivery systems, stun munitions, and a range of less lethal related products.","A.L.S. Technologies Inc.
1103 Central Blvd. PO Box 525
              
              
                
                
                
                  
                
                Bull Shoals, AR
                72619
              
              
                Phone: 877/902-4ALS",,,
Alternate Force,https://go.lexipol.com/?target=org_7F55McUt22VZv9mS&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/alternate-force/,"We provide mission critical gear and equipment to law enforcement agencies, U.S. military, corrections departments, security teams, hospitals, churches, banks and many others. Alternate Force has thousands of items and are authorized distributors for most. Please contact us if we can help you find something, match a price or provide fast quality quotations. We look forward to working with you.","Alternate Force
PO Box 296
              
              
                
                
                
                  
                
                Cato, NY
                13033
              
              
                Phone: (315) 626-6614",,,
Amazon Business,https://go.lexipol.com/?target=org_lrBXUZ98MxSmx60p&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/amazon-business/,"




Amazon Business is the purchasing solution trusted by millions of customers worldwide – from large enterprises to government agencies. Power strategic sourcing and modernize legacy processes with built-in tools to optimize costs, simplify processes, and gain visibility. Get exclusive prices and volume discounts on more than 5 million products from thousands of sellers. Comparison shop products and direct organizational spend to certified sellers such as local and diverse businesses – all with the familiar shopping experience of Amazon.com.",Amazon Business,,,
Amazon Web Services,https://go.lexipol.com/?target=org_043ae184fe8de819&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/amazon-web-services/,"d local governments are leading the way in the drive to innovate for and with citizens. Whether through open data initiatives, public safety modernization, education reform, citizen service improvements or infrastructure programs, more and more local governments are turning to Amazon Web Services (AWS) to provide the cost-effective, scalable, secure and flexible infrastructure necessary to make a difference.","Amazon Web Services
1200 12th Ave
              
              
                
                
                
                  
                
                Seattle, WA
                98104
              
              
                Phone: 206-266-3416",,,
Amchar Holdings,https://go.lexipol.com/?target=org_quDbZtlmimM9g7rP&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/amchar-holdings/,"been in business for over 43 years. Thats right, over 43 years and still going strong! We are a front runner in the industry with a warehouse full of the merchandise you are looking for. Here at AmChar, it is our philosophy to provide the best products at a competitive price and not loose sight of the people who made us who we are today.","Amchar Holdings
100 Airpark Dr
              
              
                
                
                
                  
                
                Rochester, NY
                14624-5706
              
              
                Phone: (800) 333-0695",,,
"American Addiction Centers, Inc.",,https://www.police1.com/company-directory/american-addiction-centers-inc/,"Our mission is to provide quality, comprehensive, compassionate and innovative care to adults and adolescents struggling with alcohol and/or drug conditions and mental/behavioral health issues. Through research-based and empathetic care we instill hope that long-term recovery is possible. Our purpose and passion is to empower the individual, his/her family, and the community through the promotion of optimal wellness of the mind, body, and spirit.","American Addiction Centers, Inc.
115 East Park Drive, Second Floor
              
              
                
                
                
                  
                
                Brentwood, TN
                37027
              
              
                Phone: (855) 386-8383",,,
"American Aluminum Accessories, Inc.",,https://www.police1.com/company-directory/american-aluminum-accessories-inc/,,"American Aluminum Accessories, Inc.
3291 S. Byron Butler Parkway
              
              
                
                
                
                  
                
                Perry, FL
                32348
              
              
                Phone: (800) 277-0869",,,
American Heart Association,https://go.lexipol.com/?target=org_i7CgW1DraDJLyOzN&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/american-heart-association/,"ffers eLearning and Blended Learning courses to provide complete, flexible training solutions. Students are able to complete online training at their own pace and in less time, while companies and healthcare organizations can overcome obstacles such as scheduling, reaching remote employees and diverse learning styles.","American Heart Association
7272 Greenville Ave.
              
              
                
                
                
                  
                
                Dallas, TX
                75231
              
              
                Phone: 1-877-AHA-4CPR",,,
American Law Enforcement Network,,https://www.police1.com/company-directory/american-law-enforcement-network/,,"American Law Enforcement Network

                
                
                  
                
                AL
                
              
              
                Phone: (251) 661-3949",,,
American Legacy Firearms,https://go.lexipol.com/?target=org_WQwHXbqBDbOA05cf&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/american-legacy-firearms/,,"American Legacy Firearms
1001 Smithfield Dr, Suite 201
              
              
                
                
                
                  
                
                Fort Collins, CO
                80524-8545
              
              
                Phone: (877) 887-4867",,,
American Public University,https://go.lexipol.com/?target=org_41cbcf72b124a445&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/american-public-university-apu/,,"American Public University
10110 Battleview Parkway
              
              
                
                
                
                  
                
                Manassas, VA
                20109
              
              
                Phone: (877) 468-6268",,,
American Tactical Imports Inc,https://go.lexipol.com/?target=org_Do3Eo8OHzzIJcuig&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/american-tactical/,"""American Tactical Imports, a world wide importer of firearms, ammunition and tactical equipment to the United States of America. While still a relative newcomer to the firearm industry, ATI is moving quickly to establish itself as a reputable and recognized importer of many high quality products from around the world. ATI replaces the manufacturer as their exclusive representative in the distribution chain. This means that we only sell to legitimate distributors in the United States. To order our products, please contact your local gun shop and find out which of our fine distributors they deal with. Because of the nature of our products, availability and allocation fluxuates regularly. Please contact one of our distributors for current product availability.""","American Tactical Imports Inc
100 Airpark Dr
              
              
                
                
                
                  
                
                Rochester, NY
                14624-5706
              
              
                Phone: (800) 290-0065 x125",,,
"American Technology Network, Corp.",,https://www.police1.com/company-directory/american-technology-network-corp/,,"American Technology Network, Corp.
1341 San Mateo Ave
              
              
                
                
                
                  
                
                South San Francisco, CA
                94080-6511
              
              
                Phone: 8009102862x106",,,
American Traffic Solutions,,https://www.police1.com/company-directory/american-traffic-solutions/,,"American Traffic Solutions
6170 Cornerstone Court, Ste. 150
              
              
                
                
                
                  
                
                San Diego, CA
                92121
              
              
                Phone: (480) 443-7000",,,
Ammo Inc.,https://go.lexipol.com/?target=org_TNyDa4Nj6DSLwBfJ&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/ammo-inc/,"MMO Incorporated is a leading manufacturer of performance-driven, high-quality and innovative ammunition products. The company headquarters is located in Scottsdale, AZ. We proudly use the finest American made components and manufacture our products in Payson, AZ. Every round is meticulously inspected by US Citizens. Our manufacturing facility and our processes meet all SAAMI and Mil Spec. The ammunition we build performs like high-end custom hand loaded ammunition, and is available at very competitive prices. Every load is developed with a focus on consistency and accuracy.","Ammo Inc.
7681 East Gray Road
              
              
                
                
                
                  
                
                Scottsdale, AZ
                85260",,,
Anchorage Police Department,https://go.lexipol.com/?target=org_Vn0DapXNbXCrlUla&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/anchorage-police-department/,,"Anchorage Police Department
3760 West Dimond Blvd
              
              
                
                
                
                  
                
                Anchorage, AK
                99502
              
              
                Phone: (907) 786-8960",,,
Animal One by CEJO,,https://www.police1.com/company-directory/animal-one-by-cejo/,"’ve provided canine encounters for law enforcement and other animal related training to law enforcement since 2005, and also provide e-learning training classes for a professional low price. Some of our training has been POST approved in several States. Law enforcement and their encounters with dogs and other animals are generating more and more media attention and the use of force against animals is being questioned. Proper training will both prepare officers for these encounters and reduce criticism when force has to be used. Some of the courses we offer are Canine Encounters Law Enforcement Training both live and e-learning, other courses in e-learning mode are basic animal control officer, basic animal cruelty investigations, animal cruelty crimes related to satanic and other cults, aversive conditioning of black bears, body conditioning and scoring, dog encounter safety, OC spray involving animals, illegal animal fighting, use of force involving animals and more.","Animal One by CEJO
6340 Lake Worth Blvd #1013
              
              
                
                
                
                  
                
                Fort Worth, TX
                76135
              
              
                Phone: 817-825-9899",,,
Apex Mobile,,https://www.police1.com/company-directory/apex-mobile/,,"Apex Mobile
Phone: (949) 305-7008",,,
Apex Officer,,https://www.police1.com/company-directory/apex-officer/,s the #1 virtual reality training simulator for police officers and law enforcement agencies.,"Apex Officer
55 E 3rd Ave
              
              
                
                
                
                  
                
                San Mateo, CA
                94401
              
              
                Phone: 6506847770",,,
"Applied Concepts, Inc.",https://go.lexipol.com/?target=org_e2c384ee5568aab5&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/applied-concepts-inc/,,"Applied Concepts, Inc.
2609 Technology Dr
              
              
                
                
                
                  
                
                Plano, TX
                75074-7467
              
              
                Phone: 9723983780x152",,,
Applied Digital Solutions,https://go.lexipol.com/?target=org_odg3J5wYMG1CeiWV&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/applied-digital-solutions/,,Applied Digital Solutions,,,
"Applied Information Sciences, Inc.",,https://www.police1.com/company-directory/applied-information-sciences-inc/,,"Applied Information Sciences, Inc.
1850 Centennial Park Dr # 530
              
              
                
                
                
                  
                
                Reston, VA
                20191-1524
              
              
                Phone: (301) 489-1024",,,
